epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8834009766578674,9.999999747378752e-05,0.3747155964374542,0.9437339901924133,0.2516312599182129
1,0.9361749887466431,9.999999747378752e-05,0.25570669770240784,0.9079284071922302,0.3831552267074585
2,0.9537663459777832,9.999999747378752e-05,0.2133544683456421,0.9219948649406433,0.29876887798309326
3,0.9589535593986511,9.999999747378752e-05,0.19566921889781952,0.9552429914474487,0.21081537008285522
4,0.9630130529403687,9.999999747378752e-05,0.18365022540092468,0.971867024898529,0.15549027919769287
5,0.9625620245933533,9.999999747378752e-05,0.18482816219329834,0.9347826242446899,0.26830407977104187
6,0.9663960337638855,9.999999747378752e-05,0.17689631879329681,0.970588207244873,0.15415936708450317
7,0.9643662571907043,9.999999747378752e-05,0.16944752633571625,0.9693094491958618,0.15657375752925873
8,0.9706810712814331,9.999999747378752e-05,0.16136229038238525,0.9680306911468506,0.17753422260284424
9,0.9731619358062744,9.999999747378752e-05,0.1564270704984665,0.95652174949646,0.20206482708454132
10,0.97406405210495,9.999999747378752e-05,0.14979824423789978,0.9769821166992188,0.14047078788280487
11,0.9749661684036255,9.999999747378752e-05,0.14353209733963013,0.970588207244873,0.14071090519428253
12,0.97406405210495,9.999999747378752e-05,0.13817553222179413,0.9693094491958618,0.13190937042236328
13,0.9715832471847534,9.999999747378752e-05,0.14593808352947235,0.9744245409965515,0.13059797883033752
14,0.975868284702301,9.999999747378752e-05,0.13151736557483673,0.9526854157447815,0.21206487715244293
15,0.9792512655258179,9.999999747378752e-05,0.12105829268693924,0.97826087474823,0.12764233350753784
16,0.9778980612754822,9.999999747378752e-05,0.12786386907100677,0.9667519330978394,0.17094360291957855
17,0.9833107590675354,9.999999747378752e-05,0.11124338954687119,0.9744245409965515,0.13049714267253876
18,0.9792512655258179,9.999999747378752e-05,0.12009187042713165,0.9693094491958618,0.15835453569889069
19,0.9785746335983276,9.999999747378752e-05,0.11312060803174973,0.9757032990455627,0.10880428552627563
20,0.9819576144218445,9.999999747378752e-05,0.11195803433656693,0.9539641737937927,0.18679948151111603
21,0.9794767498970032,9.999999747378752e-05,0.11060864478349686,0.9693094491958618,0.14076301455497742
22,0.9812809824943542,9.999999747378752e-05,0.10649953782558441,0.9731457829475403,0.14262253046035767
