epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8622011542320251,9.999999747378752e-05,0.4021669626235962,0.9092071652412415,0.34293481707572937
1,0.9359495043754578,9.999999747378752e-05,0.24023886024951935,0.9514066576957703,0.19194647669792175
2,0.9557961225509644,9.999999747378752e-05,0.20472076535224915,0.8874680399894714,0.35504499077796936
3,0.9548940062522888,9.999999747378752e-05,0.19942961633205414,0.928388774394989,0.2420770823955536
4,0.9612088203430176,9.999999747378752e-05,0.17932555079460144,0.9833759665489197,0.17136931419372559
5,0.9621109366416931,9.999999747378752e-05,0.1788073033094406,0.9386188983917236,0.23356911540031433
6,0.97406405210495,9.999999747378752e-05,0.14983023703098297,0.9539641737937927,0.1898777335882187
7,0.97406405210495,9.999999747378752e-05,0.1407533884048462,0.948849081993103,0.21794088184833527
8,0.9663960337638855,9.999999747378752e-05,0.15910765528678894,0.9590792655944824,0.17114022374153137
9,0.9760938286781311,9.999999747378752e-05,0.13314755260944366,0.9667519330978394,0.16629822552204132
10,0.975868284702301,9.999999747378752e-05,0.13063746690750122,0.928388774394989,0.24850697815418243
11,0.9815065264701843,9.999999747378752e-05,0.116038016974926,0.971867024898529,0.15794990956783295
