epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9073071479797363,9.999999747378752e-05,0.3589497208595276,0.9462915658950806,0.27099230885505676
1,0.9553450345993042,9.999999747378752e-05,0.2394319772720337,0.9578005075454712,0.22290511429309845
2,0.9614343643188477,9.999999747378752e-05,0.2073013186454773,0.9680306911468506,0.17696800827980042
3,0.9526386857032776,9.999999747378752e-05,0.2299862504005432,0.8938618898391724,0.3954346776008606
4,0.9700044989585876,9.999999747378752e-05,0.18622742593288422,0.8938618898391724,0.45851391553878784
5,0.9754172563552856,9.999999747378752e-05,0.16631367802619934,0.9603580832481384,0.2106267809867859
6,0.9747406244277954,9.999999747378752e-05,0.1716417819261551,0.9629155993461609,0.21911562979221344
7,0.9842128753662109,4.999999873689376e-05,0.14053064584732056,0.9667519330978394,0.18294233083724976
8,0.9846639633178711,4.999999873689376e-05,0.1383742392063141,0.9590792655944824,0.19706059992313385
9,0.9842128753662109,4.999999873689376e-05,0.13861331343650818,0.9322250485420227,0.27637454867362976
