epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.892873227596283,9.999999747378752e-05,0.35981452465057373,0.9245524406433105,0.32172444462776184
1,0.9424898624420166,9.999999747378752e-05,0.25473925471305847,0.9181585907936096,0.2849864065647125
2,0.9600812196731567,9.999999747378752e-05,0.2104882001876831,0.8682864308357239,0.5488126873970032
3,0.9630130529403687,9.999999747378752e-05,0.2053220421075821,0.9514066576957703,0.248174250125885
4,0.9684258103370667,9.999999747378752e-05,0.18256621062755585,0.9744245409965515,0.1675190031528473
5,0.9666215777397156,9.999999747378752e-05,0.1844003051519394,0.9795396327972412,0.15713027119636536
6,0.9643662571907043,9.999999747378752e-05,0.1957930028438568,0.9629155993461609,0.1848771721124649
7,0.9731619358062744,9.999999747378752e-05,0.16125266253948212,0.9808183908462524,0.1511261910200119
8,0.9751917123794556,9.999999747378752e-05,0.15775664150714874,0.95652174949646,0.1981726586818695
9,0.9783491492271423,9.999999747378752e-05,0.1542743295431137,0.9526854157447815,0.2069864720106125
10,0.9765448570251465,9.999999747378752e-05,0.15037965774536133,0.9654731750488281,0.15731047093868256
11,0.9801533818244934,9.999999747378752e-05,0.13627174496650696,0.971867024898529,0.16402402520179749
12,0.9824086427688599,4.999999873689376e-05,0.13048364222049713,0.9680306911468506,0.16033285856246948
13,0.9875958561897278,4.999999873689376e-05,0.1145491674542427,0.971867024898529,0.1443876326084137
14,0.9826341867446899,4.999999873689376e-05,0.13076740503311157,0.9667519330978394,0.15713752806186676
