epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8766350746154785,4.999999873689376e-05,0.38950860500335693,0.8759590983390808,0.3922061324119568
1,0.9368516206741333,4.999999873689376e-05,0.2667257785797119,0.9411764740943909,0.26765233278274536
2,0.9420387744903564,4.999999873689376e-05,0.2413492202758789,0.905370831489563,0.3336871266365051
3,0.9503834247589111,4.999999873689376e-05,0.22688286006450653,0.9616368412971497,0.19922932982444763
4,0.9605322480201721,4.999999873689376e-05,0.21379229426383972,0.877237856388092,0.4506695568561554
5,0.9596301317214966,4.999999873689376e-05,0.2022530436515808,0.9590792655944824,0.21195630729198456
6,0.9576003551483154,4.999999873689376e-05,0.20702597498893738,0.928388774394989,0.28504613041877747
7,0.9634641408920288,4.999999873689376e-05,0.19616234302520752,0.9232736825942993,0.32357025146484375
8,0.9700044989585876,2.499999936844688e-05,0.17377570271492004,0.948849081993103,0.23479202389717102
9,0.9709066152572632,2.499999936844688e-05,0.17216701805591583,0.9603580832481384,0.20604398846626282
10,0.9760938286781311,2.499999936844688e-05,0.1582329422235489,0.9526854157447815,0.23182736337184906
